,Symbol ,Company Name ,Industry ,Market Cap 
0,A,Agilent Technologies,Diagnostics & Research,33.15B
1,AA,Alcoa,Aluminum,5.03B
2,AAC,Ares Acquisition,Shell Companies,760.41M
3,AACG,ATA Creativity Global,Education & Training Services,34.74M
4,AACI,Armada Acquisition I,Shell Companies,86.37M
5,AACT,Ares Acquisition Corporation II,Shell Companies,639.44M
6,AADI,Aadi Bioscience,Biotechnology,112.79M
7,AAIC,Arlington Asset Investment,REIT - Mortgage,129.42M
8,AAL,American Airlines Group,Airlines,8.01B
9,AAMC,Altisource Asset Management,Asset Management,12.19M
10,AAME,Atlantic American,Insurance - Life,36.93M
11,AAN,The Aaron's Company,Rental & Leasing Services,308.07M
12,AAOI,Applied Optoelectronics,Semiconductors,296.78M
13,AAON,"AAON, Inc.",Building Products & Equipment,4.77B
14,AAP,Advance Auto Parts,Specialty Retail,3.10B
15,AAPL,Apple,Consumer Electronics,"2,788.98B"
16,AAT,American Assets Trust,REIT - Diversified,1.42B
17,AAU,Almaden Minerals,Gold,18.58M
18,AB,AllianceBernstein Holding L.P.,Asset Management,3.45B
19,ABAT,American Battery Technology Company Common Stock,Other Industrial Metals & Mining,321.27M
20,ABBV,AbbVie,Drug Manufacturers - General,262.80B
21,ABCB,Ameris Bancorp,Banks - Regional,2.70B
22,ABCL,AbCellera Biologics,Biotechnology,1.31B
23,ABCM,Abcam,Biotechnology,5.25B
24,ABEO,Abeona Therapeutics,Biotechnology,101.99M
25,ABEV,Ambev,Beverages - Brewers,40.94B
26,ABG,Asbury Automotive Group,Auto & Truck Dealerships,4.56B
27,ABIO,ARCA biopharma,Biotechnology,29.54M
28,ABL,Abacus Life,Insurance - Life,440.70M
29,ABLV,Able View,Advertising Agencies,59.63M
30,ABM,ABM Industries,Specialty Business Services,2.81B
31,ABNB,Airbnb,Travel Services,83.97B
32,ABOS,Acumen Pharmaceuticals,Biotechnology,249.41M
33,ABR,Arbor Realty Trust,REIT - Mortgage,2.70B
34,ABSI,Absci,Biotechnology,127.94M
35,ABT,Abbott Laboratories,Medical Devices,169.30B
36,ABUS,Arbutus Biopharma,Biotechnology,324.22M
37,ABVC,ABVC BioPharma,Biotechnology,3.52M
38,AC,Associated Capital Group,Capital Markets,722.88M
39,ACA,Arcosa,Infrastructure Operations,3.47B
40,ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,115.81M
41,ACAC,Acri Capital Acquisition,Shell Companies,63.34M
42,ACAD,ACADIA Pharmaceuticals,Biotechnology,3.83B
43,ACAH,Atlantic Coastal Acquisition,Shell Companies,127.78M
44,ACAQ,Athena Consumer Acquisition,Shell Companies,63.48M
45,ACAX,Alset Capital Acquisition,Shell Companies,49.75M
46,ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,235.27M
47,ACBA,Ace Global Business Acquisition,Shell Companies,40.36M
48,ACCD,Accolade,Health Information Services,657.12M
49,ACCO,ACCO Brands,Business Equipment & Supplies,511.60M
50,ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1.53B
51,ACEL,Accel Entertainment,Gambling,939.21M
52,ACER,Acer Therapeutics,Biotechnology,18.35M
53,ACET,Adicet Bio,Biotechnology,63.56M
54,ACGL,Arch Capital Group,Insurance - Diversified,30.53B
55,ACHC,Acadia Healthcare Company,Medical Care Facilities,6.64B
56,ACHL,Achilles Therapeutics,Biotechnology,35.21M
57,ACHR,Archer Aviation,Aerospace & Defense,1.53B
58,ACHV,Achieve Life Sciences,Biotechnology,78.94M
59,ACI,Albertsons Companies,Grocery Stores,13.18B
60,ACIC,American Coastal Insurance,Insurance - Property & Casualty,325.55M
61,ACIU,AC Immune,Biotechnology,241.41M
62,ACIW,ACI Worldwide,Software - Infrastructure,2.29B
63,ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,5.42B
64,ACLX,Arcellx,Biotechnology,1.76B
65,ACM,AECOM,Engineering & Construction,11.50B
66,ACMR,ACM Research,Semiconductor Equipment & Materials,1.18B
67,ACN,Accenture,Information Technology Services,196.45B
68,ACNB,ACNB Corporation,Banks - Regional,280.05M
69,ACNT,Ascent Industries Co.,Steel,85.98M
70,ACON,Aclarion,Health Information Services,3.14M
71,ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,14.04M
72,ACR,ACRES Commercial Realty,REIT - Mortgage,69.80M
73,ACRE,Ares Commercial Real Estate,REIT - Mortgage,502.38M
74,ACRO,Acropolis Infrastructure Acquisition,Shell Companies,351.90M
75,ACRS,Aclaris Therapeutics,Diagnostics & Research,426.89M
76,ACRV,Acrivon Therapeutics,Biotechnology,151.75M
77,ACRX,AcelRx Pharmaceuticals,Drug Manufacturers - Specialty & Generic,11.18M
78,ACST,Acasti Pharma,Biotechnology,24.25M
79,ACT,Enact Holdings,Insurance - Specialty,4.48B
80,ACTG,Acacia Research,Specialty Business Services,367.58M
81,ACU,Acme United,Household & Personal Products,101.65M
